,Character,Actor,Role,Episode_Debut,Original_Air_Date
56,Judge Constance Harm,Jane Kaczmarek,Springfield judge.,"""The Parent Rap""",2001-11-11
57,Herman Hermann,Harry Shearer,Owner of Herman's Military Antiques shop.,"""Bart the General""",1990-02-04
58,Bernice Hibbert,Tress MacNeille,Dr. Hibbert's wife.,"""Bart's Dog Gets an ""F""""",1991-03-07
59,Dr. Julius Hibbert,Harry Shearer,Medical doctor.,"""Bart the Daredevil""",1990-12-06
60,Elizabeth Hoover,Maggie Roswell,Lisa Simpson's teacher at Springfield Elementary School.,"""Brush with Greatness""",1991-04-11
61,Lionel Hutz,Phil Hartman,Attorney.,"""Bart Gets Hit by a Car""",1991-01-10
62,Itchy & Scratchy,Dan Castellaneta and Harry Shearer,Cartoon cat and mouse.,"""The Bart Simpson Show""",1988-11-20
63,Jacques,Albert Brooks,Bowling instructor.,"""Life on the Fast Lane""",1990-03-18
64,Jimbo Jones,Pamela Hayden,Springfield Elementary School bully.,"""The Telltale Head""",1990-02-25
65,Rachel Jordan,Shawn Colvin,Lead singer of the Christian Rock band Kovenant.,"""Alone Again, Natura-Diddily""",2000-02-13
66,Kang and Kodos,Harry Shearer and Dan Castellaneta,Extraterrestrials.,"""Treehouse of Horror""",1990-10-25
67,Princess Kashmir,Maggie Roswell,Belly dancer.,"""Homer's Night Out""",1990-03-25
68,Edna Krabappel†,Marcia Wallace†,"Bart Simpson's teacher at Springfield Elementary School (until season 25), and Ned Flanders wife (Seasons 23-25, when the character is revealed to have died).","""Bart the Genius""",1990-01-14
69,Rabbi Hyman Krustofsky,Jackie Mason and Dan Castellaneta,Rabbi; father of Krusty the Clown.,"""Like Father, Like Clown""",1991-10-24
70,Krusty the Clown,Dan Castellaneta,"TV show clown host, original name Herschel Shmoikel Pinchas Yerucham Krustofski.","""The Telltale Head""",1990-02-25
71,Cookie Kwan,Tress MacNeille,Real estate agent.,"""Realty Bites""",1997-12-07
72,Dewey Largo,Harry Shearer,Springfield Elementary School's music teacher.,"""Simpsons Roasting on an Open Fire""",1989-12-17
73,Legs and Louie,Hank Azaria and Dan Castellaneta,Fat Tony's henchmen.,"""Bart the Murderer""",1991-10-10
74,Leopold,Dan Castellaneta,Superintendent Chalmers' assistant.,"""Sweet Seymour Skinner's Baadasssss Song""",1994-04-28
75,Lenny Leonard,Harry Shearer,Springfield Nuclear Power Plant employee; one of Homer Simpson's friends.,"""Life on the Fast Lane""",1990-03-18
76,Lewis Clark,Russi Taylor,Student at Springfield Elementary School.,"""Simpsons Roasting on an Open Fire""",1989-12-17
77,Helen Lovejoy,Maggie Roswell,Reverend Lovejoy's wife.,"""Life on the Fast Lane""",1990-03-18
78,Reverend Timothy Lovejoy,Harry Shearer,Minister of the First Church of Springfield.,"""The Telltale Head""",1990-02-25
79,Coach Lugash,Dan Castellaneta,Gymnastics instructor.,"""Children of a Lesser Clod""",2001-05-13
80,Lurleen Lumpkin,"Beverly D'Angelo, Doris Grau",Country music singer-songwriter.,"""Colonel Homer""",1992-03-26
81,Otto Mann,Harry Shearer,Springfield Elementary School bus driver.,"""Homer's Odyssey""",1990-01-21
82,Captain Horatio McCallister,Hank Azaria,Sea captain.,"""New Kid on the Block""",1992-11-12
83,"Roger Meyers, Jr.","Alex Rocco, Dan Castellaneta",Chairman of Itchy & Scratchy International.,"""Itchy & Scratchy & Marge""",1990-12-20
84,Troy McClure,Phil Hartman,Actor.,"""Homer vs. Lisa and the 8th Commandment""",1991-02-07
85,Hans Moleman,Dan Castellaneta,Misfortunate man.,"""Principal Charming""",1991-02-14
86,Dr. Marvin Monroe,Harry Shearer,Psychotherapist.,"""There's No Disgrace Like Home""",1990-01-28
87,Nelson Muntz,Nancy Cartwright,Springfield Elementary School bully.,"""Bart the General""",1990-02-04
88,Captain Lance Murdock,Dan Castellaneta,Daredevil.,"""Bart the Daredevil""",1990-12-06
89,Bleeding Gums Murphy,Ron Taylor,Blues musician.,"""Moaning Lisa""",1990-02-11
90,Lindsey Naegle,Tress MacNeille,Corporate executive.,"""The Itchy & Scratchy & Poochie Show""",1997-02-09
91,Apu Nahasapeemapetilon,Hank Azaria,Operator of the Kwik-E-Mart.,"""The Telltale Head""",1990-02-25
92,Manjula Nahasapeemapetilon,Jan Hooks(1997-2002) Tress MacNeille (2014-present),Apu Nahasapeemapetilon's wife.,"""Much Apu About Nothing""",1997-11-16
93,Sanjay Nahasapeemapetilon,Harry Shearer,Apu Nahasapeemapetilon's older brother.,"""Homer vs. Lisa and the 8th Commandment""",1991-2-7
94,Jake[42],"Dan Castellaneta, Harry Shearer",Barber.,"""Simpson and Delilah""",1990-10-18
95,Old Jewish Man,Hank Azaria,Springfield Retirement Castle resident.,"""Krusty Gets Kancelled""",1993-05-13
96,Patches and Poor Violet,Pamela Hayden and Tress MacNeille,Orphans.,"""Miracle on Evergreen Terrace""",1997-12-21
97,Arnie Pye,Dan Castellaneta,Channel 6 helicopter reporter.,"""Homer Alone""",1992-02-06
98,Herbert Powell,Danny DeVito,Homer Simpson's half-brother.,"""Oh Brother, Where Art Thou?""",1991-02-21
99,Janey Powell,Pamela Hayden,Student at Springfield Elementary School.,"""Moaning Lisa""",1990-02-11
